song_id,entry_date,exit_date,days_on_playlist,best_rank,worst_rank,avg_rank,peak_popularity,avg_popularity
tú con él_rauw alejandro,2025-11-17,2025-11-23,7,12,34,24.857142857142858,79,75.14285714285714
un deseo_mora,2024-08-30,2024-08-31,2,20,42,31.0,69,34.5
un desperdicio_rels b,2025-04-28,2025-05-15,18,29,50,36.6875,83,79.25
un preview_bad bunny,2024-09-27,2024-11-02,37,1,49,22.405405405405407,92,81.13513513513513
un rodeoooo_rels b,2024-07-23,2024-09-23,63,36,50,44.421052631578945,78,75.08771929824562
un x100to_grupo frontera & bad bunny,2024-05-18,2024-06-14,28,31,50,38.03703703703704,100,99.96296296296296
una bachata_lola indigo,2025-02-04,2025-04-27,83,8,49,30.01298701298701,77,74.06493506493507
una foto remix (feat. emilia)_mesita & nicki nicole & tiago pzk,2025-01-11,2025-06-15,156,6,50,24.24025974025974,92,87.25324675324676
una velita_bad bunny,2025-09-22,2025-09-27,6,7,46,36.0,78,75.83333333333333
underneath the tree_kelly clarkson,2024-12-25,2024-12-27,3,22,40,34.0,86,86.0
uwaie_kapo,2025-08-20,2025-11-27,100,2,45,9.24,89,86.4
vacile_yan block,2025-08-15,2025-11-27,105,16,47,22.276190476190475,79,77.45714285714286
vagabundo_sebastian yatra,2024-09-24,2024-09-26,3,14,20,18.0,44,26.0
vagabundo_sebastian yatra & manuel turizo & beéle,2024-05-18,2025-10-16,517,3,50,29.090673575129532,91,85.26424870466322
vampire_olivia rodrigo,2024-07-02,2024-07-02,1,48,48,48.0,85,85.0
vente conmigo_feid,2024-08-06,2024-08-12,7,22,50,35.285714285714285,80,77.14285714285714
vida de rock_duki,2025-11-03,2025-11-10,8,34,48,40.375,73,69.25
vista al mar_quevedo,2024-05-21,2024-07-29,70,43,50,47.75757575757576,83,82.18181818181819
volver_tainy,2024-07-02,2024-07-02,1,49,49,49.0,69,69.0
vou 787_bad bunny,2024-10-14,2024-10-18,5,13,37,27.2,85,65.0
vuelve candy b_bad bunny,2024-10-14,2024-10-18,5,19,41,32.2,83,63.4
