best_rank,worst_rank,avg_rank,initial_rank,rank_improvement,rank_range,rank_volatility,avg_daily_rank_change,peak_popularity,avg_popularity,popularity_gap,playlist_entries,days_to_peak,stability_score
36,46,41.0,36,0,10,7.0710678118654755,10.0,58,56.5,1.5,2,0,0.2477986861985908
47,50,49.0,50,3,3,1.1952286093343936,2.0,77,75.75,1.25,8,2,3.6442673742420144
16,16,16.0,16,0,0,0.0,0.0,42,42.0,0.0,1,0,1.0
43,43,43.0,43,0,0,0.0,0.0,66,66.0,0.0,1,0,1.0
1,45,15.491304347826087,1,0,44,11.662181368585388,1.4235807860262009,89,84.58695652173913,4.4130434782608745,230,0,18.24330210378334
3,32,10.32,8,5,29,9.63811876526396,1.6666666666666667,83,78.76,4.239999999999995,25,5,2.350039565419317
38,47,42.5,47,9,9,6.363961030678928,9.0,61,61.0,0.0,2,1,0.2715929635786799
16,47,27.0,16,0,31,12.14495780149112,9.25,68,65.4,2.5999999999999943,5,0,0.3803739863990143
50,50,50.0,50,0,0,0.0,0.0,65,65.0,0.0,1,0,1.0
14,50,31.65714285714286,14,0,36,12.99081770089224,2.264705882352941,87,83.37142857142857,3.6285714285714334,35,0,2.5016407724166068
13,37,27.2,13,0,24,12.96919426949878,6.0,85,65.0,20.0,5,0,0.3579304506429061
33,48,40.5,33,0,15,10.606601717798211,15.0,70,35.0,35.0,2,0,0.4307893146994714
7,46,23.875,7,0,39,13.7782177989131,5.571428571428571,88,74.375,13.625,8,0,0.5413372646726305
13,49,22.26865671641791,47,34,36,8.501361393944105,1.443609022556391,89,86.90298507462687,2.0970149253731307,134,78,15.68196322844517
1,50,23.08108108108108,1,0,49,14.549686116661286,1.3,93,87.98198198198199,5.018018018018012,111,0,7.20271773717628
6,50,23.55,34,28,44,12.46351637806639,1.7974683544303798,76,73.7375,2.262500000000003,80,17,6.387632887653619
47,50,48.666666666666664,48,1,3,0.9999999999999992,0.75,71,70.22222222222223,0.7777777777777715,9,2,4.500000000000002
1,14,4.454545454545454,1,0,13,4.083225106790865,2.6,86,80.81818181818181,5.181818181818187,11,0,2.1639804983857003
3,49,18.05263157894737,41,38,46,13.742707881442124,2.5945945945945947,81,77.73684210526316,3.2631578947368354,38,30,2.5775454757421987
8,49,30.01298701298701,8,0,41,13.119384519514696,1.736842105263158,77,74.06493506493507,2.935064935064929,77,0,5.878443205883654
47,47,47.0,47,0,0,0.0,0.0,53,53.0,0.0,1,0,1.0
40,41,40.333333333333336,41,1,1,0.5773502691896263,0.5,73,72.33333333333333,0.6666666666666714,3,1,1.9019237886466835
17,50,29.56,50,33,33,9.832259828408386,3.5416666666666665,70,67.48,2.519999999999996,25,7,2.307921005959965
15,49,28.94736842105263,22,7,34,12.465390684301903,4.166666666666667,76,72.10526315789474,3.89473684210526,19,6,1.559553710126066
13,39,28.75,13,0,26,12.658988901172163,8.666666666666666,75,54.5,20.5,4,0,0.2928474449274012
37,48,44.0,37,0,11,4.183300132670378,3.25,68,65.6,2.4000000000000057,5,0,1.3504909653753117
9,47,28.09090909090909,9,0,38,10.074269655459352,10.3,67,64.63636363636364,2.36363636363636,11,0,1.4447905367838303
26,49,36.84848484848485,49,23,23,6.389059066683897,2.96875,87,86.72727272727273,0.2727272727272662,33,30,4.736733010811821
37,37,37.0,37,0,0,0.0,0.0,0,0.0,0.0,1,0,1.0
18,50,31.646153846153847,50,32,32,7.567262486425427,2.3125,83,77.50769230769231,5.492307692307691,65,18,8.6375315472417
10,22,18.25,10,0,12,5.560275772537426,4.0,67,65.0,2.0,4,0,0.6097304654089037
48,48,48.0,48,0,0,0.0,0.0,0,0.0,0.0,1,0,1.0
43,43,43.0,43,0,0,0.0,0.0,53,53.0,0.0,1,0,1.0
44,50,48.0,49,5,6,2.3452078799117144,2.75,75,71.8,3.200000000000003,5,3,1.4946754221241276
10,49,27.39423076923077,13,3,39,11.04309147410506,1.0097087378640777,100,98.3653846153846,1.634615384615401,104,14,8.635656402977576
3,5,3.75,5,2,2,0.957427107756338,0.6666666666666666,71,67.75,3.25,4,2,2.04349882769577
38,50,44.21739130434783,38,0,12,3.2352359911076896,1.3823529411764706,86,84.55072463768116,1.4492753623188437,69,0,16.291890261811275
49,49,49.0,49,0,0,0.0,0.0,63,63.0,0.0,1,0,1.0
20,50,33.857142857142854,20,0,30,11.92236793354647,6.0,85,70.14285714285714,14.85714285714286,7,0,0.5416963853681954
44,44,44.0,44,0,0,0.0,0.0,0,0.0,0.0,1,0,1.0
31,50,40.833333333333336,32,1,19,6.307763374436202,2.1818181818181817,66,61.916666666666664,4.083333333333336,12,1,1.6420892939662004
40,40,40.0,40,0,0,0.0,0.0,0,0.0,0.0,1,0,1.0
22,40,32.333333333333336,22,0,18,9.291573243177568,9.0,69,68.0,1.0,3,0,0.2915006218304614
43,43,43.0,43,0,0,0.0,0.0,56,56.0,0.0,1,0,1.0
23,50,40.611111111111114,27,4,27,7.0756778750381475,1.6832298136645962,87,85.33333333333333,1.6666666666666714,162,12,29.84269602245144
1,50,23.595744680851062,13,12,49,18.555719817204977,1.3018292682926829,85,77.68085106382979,7.319148936170208,329,11,18.971431553933236
15,50,25.582010582010582,35,20,35,7.772694580545452,1.99468085106383,85,82.70899470899471,2.291005291005291,189,85,28.611505586507473
22,50,37.06666666666667,50,28,28,8.267549876014112,5.428571428571429,77,76.46666666666667,0.5333333333333314,15,5,5.287265852954271
30,40,35.42857142857143,37,7,10,3.2071349029490936,2.8333333333333335,94,91.0,3.0,7,4,1.6638401576077773
18,48,35.666666666666664,44,26,30,9.178779875342912,7.375,78,72.66666666666667,5.333333333333329,9,22,2.6525772568679704
24,32,28.25,29,5,8,3.304037933599835,4.333333333333333,66,58.0,8.0,4,1,0.9293598387629586
30,50,40.01030927835052,30,0,20,5.516065259314579,1.1041666666666667,92,90.79381443298968,1.2061855670103228,97,0,18.109088123591377
